SampleID,10_reads,25_reads,50_reads
S010061,1.8031188242321665,1.7595187457287473,1.7083390847455164
S010063,2.3118688091955266,2.1795255816825003,2.047835209358041
S010066,1.8970948279585123,1.7664502597632976,1.4962822268008538
S010067,1.402225275207841,1.1941848479927966,1.0232325529860695
S010068,1.4906517604368072,1.3528711626856176,1.20051097114086
S010069,2.3337474868573773,2.107923878010815,1.72683968729537
S010070,2.443552801846581,2.3598301564730897,2.2800599195749407
S010071,1.972285943265703,1.7874613098689578,1.4956491843323583
S010072,1.3459465617437376,1.13901924829478,1.0347675367232883
S010074,2.2779516816905625,2.056696973619651,1.8502278011609519
S010075,2.394520688474787,2.3309202839652765,2.3309202839652765
S010076,1.9931242228397326,1.8474079715471345,1.7455680914006126
S010077,1.9940423218298908,1.8450687177332565,1.8180696850138203
S010078,1.913045294446939,1.5506641640967957,1.4802376304987273
S010079,1.3829684281171235,1.1800159964886527,1.1131849699468088
S010080,1.521572694100673,1.3803562209073517,1.3039418450466518
S010081,2.575229548306391,1.4778427182910683,-0
S010082,0.6287411442882073,0.5906968859153959,0.5536919053591176
S010084,1.0069527622317322,0.8556882459053329,0.7797394167952909
S010085,0.957989727616294,0.9218646449016423,0.7548519023277545
S010086,1.5869438258617856,1.5409942032528854,1.5409942032528854
S010087,2.0420566013660983,1.9498927999532467,1.817365081603909
S010088,2.2283346912945743,1.9776961560379218,1.8058012665521102
S010089,2.050113732453447,1.993356495576726,1.9588853410337261
S010090,1.652306502135691,1.5541570986490931,1.4943211875152895
S010091,1.9562260743955908,1.8323797162484907,1.6896723992002496
S010092,1.4937914845285445,1.3745003661240933,1.091374540670067
S010094,0.5728821105167298,0.5728821105167298,0.5323201000676504
S010095,1.8627322483577384,1.557027428094676,1.3706704986245046
S010096,1.9145548692677918,1.8365850406874231,1.6208433648890461
S010097,1.9857959489995214,1.7827927901636185,1.5064076149537209
S010098,0.9198452735503446,0.8745504380679486,0.6947798298994619
S010099,2.3236148766152382,1.7303642008837832,0.5705059320813289
S012808,1.1283955994276513,1.0603675515555337,1.0603675515555337
S012839,2.13525169904457,1.8302690781249007,1.5594912637242406
S012849,1.3151059008118589,1.2552623749450893,1.1489320785477506
S012850,1.8615772515759272,1.0548109086215613,NA
S012851,0.810693929151513,0.7526081360154965,0.6871276819109888
S012858,0.8310542177619362,0.8084071672111421,0.8084071672111421
S012859,1.163852858711869,1.0041316793176391,0.8131077421698637
S012860,0.7842096740682861,0.6643889892492151,0.5953674456224537
S012861,-0,-0,-0
S012862,1.0170758671657316,0.8825060177157846,0.754588248978308
S012863,-0,-0,-0
S012869,1.5885996079998856,1.5162545912095842,1.4162052053854937
S012870,1.2227159035032888,0.6365141682948128,-0
S012871,1.6312418339037753,1.4437834247447854,1.2716235857391307
S012872,0.10880705738429433,0.10183183397546396,0.10183183397546396
S012873,0.7142328317350936,0.6511179026062736,0.5733039993372617
S012878,1.419777218755763,1.322159481314763,1.268754423555747
S012880,0.5105207543540583,0.5105207543540583,0.5105207543540583
S012881,-0,-0,-0
S012882,-0,NA,NA
S012883,1.0924356159922497,1.0924356159922497,-0
S012884,0.015207328140204741,-0,-0
S012889,1.0366951185060211,0.8368152417809306,0.6753399110254297
