SampleID,cutoff,diversity_index
S009089,10_reads,0.02028698370059269
S009090,10_reads,1.259083122482312
S009091,10_reads,-0
S009092,10_reads,1.7647118822833296
S009093,10_reads,0.4992945548997606
S009094,10_reads,1.6494700440497785
S009095,10_reads,0.3965750992920609
S009096,10_reads,1.3445091164624496
S009097,10_reads,1.410478397784173
S009098,10_reads,-0
S009099,10_reads,0.0975866381631264
S009971,10_reads,-0
S009972,10_reads,-0
S009973,10_reads,-0
S009974,10_reads,0.01417361768770269
S009976,10_reads,-0
S009977,10_reads,-0
S009978,10_reads,-0
S009982,10_reads,0.013289106610639674
S009984,10_reads,-0
S009987,10_reads,-0
S009988,10_reads,0.01446459359882957
S009989,10_reads,-0
S009990,10_reads,0.03802178297764762
S009991,10_reads,-0
S009993,10_reads,-0
S009995,10_reads,-0
S009996,10_reads,-0
S009998,10_reads,-0
S009999,10_reads,-0
S010000,10_reads,0.34696057898960686
S010001,10_reads,1.4128100822951053
S010002,10_reads,1.0018031940868062
S010003,10_reads,1.2242643342186854
S010004,10_reads,0.379521820267707
S010005,10_reads,1.6425239069606903
S010008,10_reads,0.9435830520520093
S010009,10_reads,1.8363047474238683
S010010,10_reads,1.484134334884475
S010011,10_reads,1.2796409208849615
S010012,10_reads,0.930883944223196
S010013,10_reads,-0
S010014,10_reads,0.38956952131725775
S010015,10_reads,0.4271414855624715
S010019,10_reads,0.5721148211409772
S010020,10_reads,-0
S010021,10_reads,1.1246114694168778
S010022,10_reads,1.4105345695380032
S010024,10_reads,0.3744820689967655
S010029,10_reads,0.97850955651862
S010030,10_reads,0.6597214920192657
S010031,10_reads,-0
S010032,10_reads,0.4952213493198412
S010033,10_reads,1.7264478753094126
S010035,10_reads,1.5641134259356533
S010036,10_reads,1.381625396755362
S010038,10_reads,0.09748475804693044
S010040,10_reads,0.3348113540668879
S010041,10_reads,0.8483385940056418
S010042,10_reads,0.7356389092285381
S010043,10_reads,1.2811261144075103
S010044,10_reads,0.044436418460943344
S010045,10_reads,1.440415022110082
S010046,10_reads,1.057164439653596
S010049,10_reads,1.3825778498716823
S010050,10_reads,1.4611670027273556
S010051,10_reads,0.9271363585469181
S010052,10_reads,-0
S010053,10_reads,0.9728073008850038
S010056,10_reads,1.2394332146708156
S010057,10_reads,1.2626499240759355
S010058,10_reads,1.0505724626864643
S010059,10_reads,1.5818432580488968
S010060,10_reads,0.4864988556331541
S010061,10_reads,1.7351391571805592
S010063,10_reads,0.8464451520518123
S010066,10_reads,0.7072982961603469
S010067,10_reads,0.8076199497706932
S010068,10_reads,0.7358846413895523
S010069,10_reads,0.960032596777684
S010070,10_reads,1.1320926384842374
S010071,10_reads,0.4126590683840068
S010072,10_reads,0.4992954697602436
S010074,10_reads,1.0354303299705718
S010075,10_reads,0.9100530450767457
S010076,10_reads,1.6461918094724488
S010077,10_reads,0.9739884213638026
S010078,10_reads,0.23787805998889255
S010079,10_reads,0.6741792128187891
S010080,10_reads,0.5360416712480995
S010081,10_reads,0.24995140011322706
S010082,10_reads,1.4949244857893804
S010084,10_reads,0.7430718062051417
S010085,10_reads,1.2331009223891483
S010086,10_reads,0.9909186025560143
S010087,10_reads,1.1376747620823293
S010088,10_reads,0.23042017833034398
S010089,10_reads,1.03950191972264
S010090,10_reads,0.10605094107685317
S010091,10_reads,1.2196393104170247
S010092,10_reads,0.442294013430663
S010094,10_reads,0.3049783694437595
S010095,10_reads,0.5235146096598704
S010096,10_reads,1.8249670790132115
S010097,10_reads,1.257513999778478
S010098,10_reads,0.6544033629270571
S012808,10_reads,0.6882986045165318
S012839,10_reads,0.05541474203631881
S012849,10_reads,0.8432784946979522
S012850,10_reads,0.1717832194808587
S012851,10_reads,0.39644018643783485
S012858,10_reads,1.0246475779250073
S012859,10_reads,0.39024232654260244
S012860,10_reads,0.03322505203185342
S012861,10_reads,0.04496193091924444
S012862,10_reads,0.63050416758683
S012863,10_reads,0.00613109291134086
S012869,10_reads,1.0618140609974285
S012870,10_reads,0.026242949373510883
S012871,10_reads,0.20705980418907605
S012872,10_reads,0.027520580869721045
S012873,10_reads,0.01865638062293913
S012878,10_reads,0.9046794141935436
S012880,10_reads,1.506339254759766
S012881,10_reads,0.9438147360328564
S012882,10_reads,1.2365121394662189
S012883,10_reads,0.0144604301975137
S012884,10_reads,0.03483901533621325
S012889,10_reads,1.2439684355682572
S012890,10_reads,0.10141446710877475
S012891,10_reads,1.1020105527057762
S012892,10_reads,0.07211785468869254
S012893,10_reads,-0
S012894,10_reads,0.011004717203179722
S013002,10_reads,1.0859610283189867
S013003,10_reads,0.9298882036908493
S013004,10_reads,1.4876605157353027
S013007,10_reads,1.011070352223294
S013009,10_reads,0.47291782309506986
S013010,10_reads,0.423401360039762
S013011,10_reads,0.8454706714522818
S013013,10_reads,0.5407347158120045
S013014,10_reads,0.6592897928614017
S013016,10_reads,1.6011693773122078
S013017,10_reads,1.4417668160219987
S013019,10_reads,0.8758742822357795
S013020,10_reads,1.2793728187754227
S013021,10_reads,-0
S013022,10_reads,-0
